Code_x,Description,Code_y
ALE,"Alpine, TX: Alpine Casparis Municipal",10259
ALF,"Alta, Norway: Alta Airport",10260
ALG,"Algiers, Algeria: Houari Boumediene",10261
ALH,"Albany, Australia: Albany Airport",10262
ALI,"Alice, TX: Alice International",10263
ALJ,"Alexander Bay, South Africa: Alexander Bay Airport",10264
ALK,"Asela, Ethiopia: Asela Airport",10265
ALL,"Liguria, Italy: Albenga",16889
ALM,"Alamogordo, NM: Alamogordo White Sands Regional",10266
ALN,"Alton, IL: St. Louis Regional",10267
ALO,"Waterloo, IA: Waterloo Regional",10268
ALP,"Aleppo, Syria: Aleppo International",10269
ALQ,"Alegrete, Brazil: Alegrete Airport",10270
ALR,"Alexandra, New Zealand: Alexandra Airport",10271
ALS,"Alamosa, CO: San Luis Valley Regional/Bergman Field",10272
ALT,"Alenquer, Brazil: Alenquer Airport",10273
ALU,"Alula, Somalia: Alula Airport",10274
ALW,"Walla Walla, WA: Walla Walla Regional",10275
ALX,"Alexander City, AL: Thomas C. Russell Field",10276
ALY,"Alexandria, Egypt: Alexandria International",10277
ALZ,"Lazy Bay, AK: Alitak Seaplane Base",10278
AMA,"Amarillo, TX: Rick Husband Amarillo International",10279
AMD,"Ahmedabad, India: Sardar Vallabh Bhai Patel International",10280
AMF,"Ama, Papua New Guinea: Ama Airport",10281
AMG,"Amboin, Papua New Guinea: Amboin Airport",10282
AMH,"Arba Minch, Ethiopia: Arba Minch Airport",10283
AMI,"Mataram, Indonesia: Selaparang",10284
AMK,"Durango, CO: Animas Air Park",10285
AML,"Puerto Armuelles, Panama: Puerto Armuelles Airport",10286
AMM,"Amman, Jordan: Queen Alia International",10287
AMN,"Alma, MI: Gratiot Community",10288
AMO,"Mao, Chad: Mao Airport",10289
AMP,"Ampanihy, Madagascar: Ampanihy Airport",10290
AMQ,"Ambon, Indonesia: Pattimura",10291
AMS,"Amsterdam, Netherlands: Schiphol",10292
AMW,"Ames, IA: Ames Municipal",10294
AMX,"Ammaroo, Australia: Ammaroo Station",10295
AMY,"Ambatomainty, Madagascar: Ambatomainty Airport",10296
ANA,"Anaheim, CA: Anaheim-Disneyland HP",10297
ANB,"Anniston, AL: Anniston Regional",10298
ANC,"Anchorage, AK: Ted Stevens Anchorage International",10299
AND,"Anderson, SC: Anderson Regional",10300
ANE,"Angers, France: Angers Marce",10301
ANF,"Antofagasta, Chile: Andres Sabella International",10302
ANG,"Angouleme, France: Angouleme Brie Champniers",10303
ANI,"Aniak, AK: Aniak Airport",10304
ANK,"Ankara, Turkey: Etimesgut",10305
ANM,"Antalaha, Madagascar: Antsirabato",10306
ANN,"Annette, AK: Annette Island",10307
ANO,"Angoche, Mozambique: Angoche Airport",10308
ANP,"Annapolis, MD: Lee",10309
ANR,"Antwerp, Belgium: Deurne",10310
ANS,"Andahuaylas, Peru: Andahuaylas Airport",10311
ANU,"St. Johns, Antigua and Barbuda: V C Bird International",10312
ANV,"Anvik, AK: Anvik Airport",10313
ANX,"Andeness, Norway: Andoya",10314
AOH,"Lima, OH: Lima Allen County",10317
AOI,"Ancona, Italy: Ancona Falconara",10318
AOJ,"Aomori, Japan: Aomori Airport",10319
AOK,"Karpathos, Greece: Karpathos Airport",10320
AOL,"Paso de Los Libres, Argentina: Paso de Los Libres Airport",10321
AOO,"Altoona, PA: Altoona-Blair County",10322
AOR,"Alor Setar, Malaysia: Sultan Abdul Halim",10323
AOS,"Amook Bay, AK: Amook Bay Airport",10324
APA,"Denver, CO: Centennial",10325
APB,"Apolo, Bolivia: Apolo Airport",10326
APC,"Napa, CA: Napa County",10327
APE,"San Juan Aposento, Peru: San Juan Aposento Airport",10328
APF,"Naples, FL: Naples Municipal",10329
APG,"Aberdeen, MD: Phillips AAF",10330
APH,"Fort A P Hill, VA: Mary Walker Lz",16767
API,"Villavicencio, Colombia: Capt Luis F Gomez Nino",15642
APK,"Apataki, French Polynesia: Apataki Airport",10331
APL,"Nampula, Mozambique: Nampula Airport",10332
APN,"Alpena, MI: Alpena County Regional",10333
APO,"Apartado, Colombia: Apartado Airport",10334
APR,"April River, Papua New Guinea: April River Airport",10335
APT,"Jasper, TN: Marion County Brown Field",10336
APV,"Apple Valley, CA: Apple Valley Airport",10337
APW,"Apia, Samoa: Faleolo International",10338
AQ1,"McMurdo Station, Antarctica: McMurdo Station Phoenix Field",16833
AQ2,"Terra Nova Bay, Antarctica: Mario Zucchelli",16834
AQI,"Qaisumah, Saudi Arabia: Al Qaisumah International",10339
AQJ,"Aqaba, Jordan: King Hussein International",10340
AQP,"Arequipa, Peru: Rodriguez Ballon International",10342
AQS,"Saqani, Fiji: Saqani Airport",10343
AQY,"Girdwood, AK: Girdwood Airport",10344
AR1,"Russellville, AR: Russellville Regional",10345
AR2,"Conway, AR: Dennis F Cantrell Field",10346
AR3,"Bentonville, AR: Bentonville Municipal Louise M Thaden Field",16738
AR4,"Colt, AR: Delta Regional",16886
ARA,"New Iberia, LA: Acadiana Regional",10347
ARB,"Ann Arbor, MI: Ann Arbor Municipal",10348
ARC,"Arctic Village, AK: Arctic Village Airport",10349
ARD,"Alor, Indonesia: Arcadia Municipal",10350
ARE,"Arecibo, PR: Antonio/Nery/Juarbe Pol",10351
ARG,"Walnut Ridge, AR: Walnut Ridge Regional",10352
ARH,"Arkhangelsk, Russia: Talagi",10353
ARI,"Arica, Chile: Chacalluta",10354
ARK,"Arusha, Tanzania: Arusha Airport",10355
ARM,"Armidale, Australia: Armidale Airport",10356
ARN,"Stockholm, Sweden: Arlanda",10357
ARP,"Aragip, Papua New Guinea: Aragip Airport",10358
ARQ,"Arauquita, Colombia: Arauquita Airport",10359
ARS,"Aragarcas, Brazil: Aragarcas Airport",10360
ART,"Watertown, NY: Watertown International",10361
ARU,"Aracatuba, Brazil: Aracatuba Airport",10362
ARV,"Minocqua/Woodruff, WI: Lakeland/Noble F. Lee Memorial Field",10363
ARW,"Arad, Romania: Arad International",10364
ARX,"Asbury Park, NJ: Asbury Park/Monmouth County",10365
ARY,"Ararat, Australia: Ararat Airport",10366
ARZ,"N'zeto, Angola: N'zeto Airport",10367
ASA,"Assab, Eritrea: Assab International",10368
ASB,"Ashgabat, Turkmenistan: Ashgabat Airport",10369
ASC,"Ascension, Bolivia: Ascension Airport",10370
ASD,"Andros Town, The Bahamas: Andros Town International",10371
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",10372
ASF,"Astrakhan, Russia: Narimanova",16674
ASG,"Ashburton, New Zealand: Ashburton Airport",10373
ASH,"Nashua, NH: Boire Field",10374
ASI,"Ascension Island, Saint Helena, Ascension, and Tristan da Cunha: Ascension Aux Af",10375
ASJ,"Amami O Shima, Japan: Amami",10376
ASK,"Yamoussoukro, Cote d'Ivoire: Yamoussoukro Airport",10377
ASL,"Marshall, TX: Harrison County",10378
ASM,"Asmara, Eritrea: Asmara International",10379
ASN,"Talladega, AL: Talladega Municipal",10380
ASO,"Asosa, Ethiopia: Asosa Hidase",10381
ASP,"Alice Springs, Australia: Alice Springs Airport",10382
